query_objectid,rank,objectid,score,title,artist_name,classification
63,1,1173,0.7431361675262451,Woman and Child in a Courtyard,"Hooch, Pieter de",Painting
63,2,96,0.5874408483505249,La Camargo Dancing,"Lancret, Nicolas",Painting
63,3,64,0.5869289040565491,The Intruder,"Metsu, Gabriel",Painting
63,4,20,0.5720572471618652,The Adoration of the Child,"Lippi, Filippino",Painting
63,5,1172,0.5611704587936401,The Bedroom,"Hooch, Pieter de",Painting
63,6,432,0.5573581457138062,The Adoration of the Shepherds,Giorgione,Painting
63,7,47,0.5539544224739075,The Nativity,"Christus, Petrus",Painting
63,8,894,0.5536803007125854,A Dominican Preaching,"Erri, Agnolo degli",Painting
