query_objectid,rank,objectid,score,title,artist_name,classification
1174,1,995,0.6788250207901001,The Binning Children,"Simpson, John W., Mrs.",Painting
1174,2,103,0.6077205538749695,Lady Mary Templetown and Her Eldest Son,"Lawrence, Thomas, Sir",Painting
1174,3,102,0.5893785953521729,Lady Elizabeth Delmé and Her Children,"Reynolds, Joshua, Sir",Painting
1174,4,288,0.5646471977233887,Allegory of Chastity,"Lotto, Lorenzo",Painting
1174,5,99,0.5478289127349854,Mrs. Richard Brinsley Sheridan,"Gainsborough, Thomas",Painting
1174,6,531,0.5439680814743042,The Holy Family,"Bronzino, Agnolo",Painting
