query_objectid,rank,objectid,score,title,artist_name,classification
72,1,21,0.6115629076957703,Portrait of a Youth,"Botticelli, Sandro",Painting
72,2,435,0.5929299592971802,Woman Holding an Apple,Titian,Painting
72,3,306,0.5825589299201965,Quintilia Fischieri,"Barocci, Federico",Painting
72,4,44,0.5792382955551147,Portrait of a Lady,"Luini, Bernardino",Painting
72,5,59,0.5777205228805542,Portrait of a Gentleman,"Lely, Peter, Sir",Painting
72,6,570,0.5756313800811768,Portrait of a Gentleman,"Wright, Joseph",Painting
