query_objectid,rank,objectid,score,title,artist_name,classification
86,1,460,0.6783607006072998,The Agony in the Garden,Benvenuto di Giovanni,Painting
86,2,1178,0.6683087944984436,The Satyr and the Peasant,"Liss, Johann",Painting
86,3,103,0.6554378867149353,Lady Mary Templetown and Her Eldest Son,"Lawrence, Thomas, Sir",Painting
86,4,267,0.6398075222969055,The Annunciation to the Shepherds,"Bassano, Jacopo",Painting
86,5,321,0.6391124725341797,The Worship of the Golden Calf,Italian 16th Century,Painting
86,6,204,0.6381990313529968,The Faint,"Longhi, Pietro",Painting
