query_objectid,rank,objectid,score,title,artist_name,classification
1155,1,55,0.6520228385925293,Susanna Fourment and Her Daughter,"Dyck, Anthony van, Sir",Painting
1155,2,505,0.6408227682113647,The Visitation with Saint Nicholas and Saint Anthony Abbot,Piero di Cosimo,Painting
1155,3,46,0.6103410124778748,The Annunciation,"Eyck, Jan van",Painting
1155,4,4,0.5894713997840881,Saint Bernard and Saint Catherine of Alexandria with the Virgin of the Annunciation [right panel],"Gaddi, Agnolo",Painting
1155,5,90,0.5732316970825195,Saint Ildefonso,El Greco,Painting
1155,6,255,0.5697826743125916,A Gentleman in Adoration before the Madonna,"Moroni, Giovanni Battista",Painting
